Entity,Code,Year,Gas Consumption - TWh,Coal Consumption - TWh,Oil Consumption - TWh
Africa,,1965,9.543755,323.49612,341.26276
Africa,,1966,10.669916,323.1222,369.48657
Africa,,1967,10.54567,330.29156,368.12524
Africa,,1968,10.68897,343.5129,389.19986
Africa,,1969,12.492,346.64294,396.92285
Africa,,1970,15.520325,360.7569,433.7723
Africa,,1971,18.405264,383.01233,473.56543
Africa,,1972,24.670656,384.21082,510.67264
Africa,,1973,39.551792,408.91034,549.7197
Africa,,1974,44.518486,425.6462,567.7997
Africa,,1975,53.63838,451.0805,596.40466
Africa,,1976,60.98139,481.07416,652.58044
Africa,,1977,68.23419,491.69846,695.1663
Africa,,1978,97.3699,477.81558,732.181
Africa,,1979,148.84282,507.24698,770.9386
Africa,,1980,186.91399,543.55707,817.23883
Africa,,1981,228.49117,635.79877,883.8619
Africa,,1982,246.73355,701.1759,925.22723
Africa,,1983,271.27533,713.24603,964.55225
Africa,,1984,259.90277,762.8978,981.7521
Africa,,1985,278.84274,787.1659,1007.09186
Africa,,1986,313.2712,805.3561,988.59314
Africa,,1987,323.38437,828.3197,1042.0686
Africa,,1988,358.44455,890.16077,1086.2682
Africa,,1989,371.47104,835.62085,1123.9265
Africa,,1990,398.6454,877.6783,1142.4028
Africa,,1991,401.6356,853.76215,1148.7052
Africa,,1992,421.27026,858.8312,1170.5247
Africa,,1993,412.64398,871.7139,1180.0767
Africa,,1994,431.82794,894.4478,1221.8848
Africa,,1995,461.2435,922.47125,1266.7817
Africa,,1996,484.19177,935.2283,1293.9713
Africa,,1997,474.47552,959.0191,1332.2731
Africa,,1998,499.33698,937.03894,1363.5087
Africa,,1999,504.01962,966.0107,1414.5602
Africa,,2000,556.8224,963.7306,1420.3865
Africa,,2001,634.63617,975.9263,1432.6643
Africa,,2002,670.6054,934.4216,1479.1665
Africa,,2003,711.5067,1017.04846,1524.8151
Africa,,2004,783.0682,1119.1619,1586.5107
Africa,,2005,807.7816,1039.0726,1654.9192
Africa,,2006,843.4421,1054.097,1673.7168
Africa,,2007,900.0697,1071.6333,1734.7408
Africa,,2008,935.1621,1180.7251,1824.851
Africa,,2009,940.86066,1176.0021,1885.9763
Africa,,2010,980.7318,1164.8401,1966.2146
Africa,,2011,1060.527,1147.2993,1934.1709
Africa,,2012,1146.7704,1118.487,2046.8298
Africa,,2013,1169.7455,1130.1606,2121.4414
Africa,,2014,1202.32,1183.806,2143.3335
Africa,,2015,1325.3599,1119.0386,2199.145
Africa,,2016,1370.4951,1186.288,2210.9258
Africa,,2017,1448.7449,1185.0671,2233.0898
Africa,,2018,1543.5508,1163.5999,2257.502
Africa,,2019,1549.7299,1231.3168,2262.0361
Africa,,2020,1535.9724,1157.9011,2011.0526
Africa,,2021,1643.8152,1168.7407,2183.542
Africa (BP),,1965,9.543755,323.49612,341.26276
Africa (BP),,1966,10.669916,323.1222,369.48657
Africa (BP),,1967,10.54567,330.2916,368.12524
Africa (BP),,1968,10.68897,343.5129,389.19986
Africa (BP),,1969,12.492,346.6429,396.92288
Africa (BP),,1970,15.520325,360.7569,433.7723
Africa (BP),,1971,18.405264,383.01233,473.56543
Africa (BP),,1972,24.670656,384.21082,510.67264
Africa (BP),,1973,39.551792,408.91034,549.7198
Africa (BP),,1974,44.518486,425.64624,567.7997
Africa (BP),,1975,53.63838,451.0805,596.40466
Africa (BP),,1976,60.98139,481.07416,652.5805
Africa (BP),,1977,68.23419,491.69846,695.1663
Africa (BP),,1978,97.369896,477.81558,732.181
Africa (BP),,1979,148.84282,507.247,770.93866
Africa (BP),,1980,186.91397,543.55707,817.2389
Africa (BP),,1981,228.49115,635.79877,883.8619
Africa (BP),,1982,246.73355,701.1759,925.22723
Africa (BP),,1983,271.27536,713.24603,964.5522
Africa (BP),,1984,259.90277,762.8979,981.752
Africa (BP),,1985,278.84274,787.1659,1007.09186
Africa (BP),,1986,313.2712,805.3561,988.5932
Africa (BP),,1987,323.38437,828.3197,1042.0687
Africa (BP),,1988,358.44455,890.1608,1086.2682
Africa (BP),,1989,371.47104,835.62085,1123.9265
Africa (BP),,1990,398.6454,877.6782,1142.4028
Africa (BP),,1991,401.6356,853.76215,1148.7052
Africa (BP),,1992,421.27026,858.8312,1170.5247
Africa (BP),,1993,412.64398,871.7139,1180.0768
Africa (BP),,1994,431.82794,894.4478,1221.8846
Africa (BP),,1995,461.2435,922.47125,1266.7817
Africa (BP),,1996,484.19174,935.2282,1293.9712
Africa (BP),,1997,474.47552,959.0191,1332.2731
Africa (BP),,1998,499.337,937.03894,1363.5087
Africa (BP),,1999,504.0196,966.01074,1414.5602
